review,review_clean,review_processed,rating,sentiment,date,userName
"game nya keren, tapi boleh hapus gak grading haram itu😭",game nya keren tapi boleh hapus gak grading haram itu,game keren hapus grading haram,5,positif,2026-04-23 21:19:29,Youqo Altaaf Asari
perkecil lagi memori penyimpanan,perkecil lagi memori penyimpanan,perkecil memori penyimpanan,5,positif,2026-04-23 21:19:09,Bondet Junior
gem ini haram masa ada perempuan pakai celana dalam aduhh mending main ff sama ml,gem ini haram masa ada perempuan pakai celana dalam aduhh mending main ff sama ml,gem haram perempuan pakai celana aduhh mending main ff ml,1,negatif,2026-04-23 20:49:28,Sri Wulan
Salam pelajar game ini,salam pelajar game ini,salam pelajar game,5,positif,2026-04-23 20:47:50,Indra Fauzi
saya sangat suka,saya sangat suka,suka,5,positif,2026-04-23 20:35:22,maruba gultom
karena realita banget aku suka aku pernah ace eliminator4,karena realita banget aku suka aku pernah ace eliminator,realita suka ace eliminator,5,positif,2026-04-23 19:58:51,arvin putra ramadan
yang bener aja dong pubg indo geraiding gak naik naik bikin seters main,yang bener aja dong pubg indo geraiding gak naik naik bikin seters main,bener pubg indo geraiding bikin seters main,5,positif,2026-04-23 19:30:05,Guntur Ananta
jelek loginnya lama mendingan ff daripada papji papjiburk burik login dnglot lama,jelek loginnya lama mendingan ff daripada papji papjiburk burik login dnglot lama,jelek loginnya mendingan ff papji papjiburk burik login dnglot,1,negatif,2026-04-23 19:16:00,Choirus Salam
mantap,mantap,mantap,5,positif,2026-04-23 18:30:03,lover Lover
update terbaru. Xiaomi Pad 7 Pro di bukak 120 fps lah. sebab layar Uda support 144 hz ... mohon di bukak untuk hp hp yg Uda support 120 fps buat kenyaman bermain.. jgn cuman hp iPhone yg di support . thank i love pubg mobile,update terbaru xiaomi pad pro di bukak fps lah sebab layar uda support hz mohon di bukak untuk hp hp yg uda support fps buat kenyaman bermain jgn cuman hp iphone yg di support thank i love pubg mobile,update terbaru xiaomi pad pro bukak fps layar uda support hz mohon bukak hp hp uda support fps kenyaman bermain cuman hp iphone support thank love pubg mobile,5,positif,2026-04-23 18:24:21,Lepi Doang
"min please,season depan tambah senjata mp5k dong di livik, alesannya krena gw suka main di livik dan senjatanya udh gw Upgrade 😁",min pleaseseason depan tambah senjata mpk dong di livik alesannya krena gw suka main di livik dan senjatanya udh gw upgrade,min pleaseseason senjata mpk livik alesannya krena suka main livik senjatanya upgrade,5,positif,2026-04-23 18:21:54,Dowan One
gem nya bagus dan geravik nya juga Oke,gem nya bagus dan geravik nya juga oke,gem bagus geravik oke,5,positif,2026-04-23 18:03:25,Asrori Safarudin Rori
