review,rating,date,userName
"game nya keren, tapi boleh hapus gak grading haram itu😭",5,2026-04-23 21:19:29,Youqo Altaaf Asari
perkecil lagi memori penyimpanan,5,2026-04-23 21:19:09,Bondet Junior
gem ini haram masa ada perempuan pakai celana dalam aduhh mending main ff sama ml,1,2026-04-23 20:49:28,Sri Wulan
Salam pelajar game ini,5,2026-04-23 20:47:50,Indra Fauzi
saya sangat suka,5,2026-04-23 20:35:22,maruba gultom
karena realita banget aku suka aku pernah ace eliminator4,5,2026-04-23 19:58:51,arvin putra ramadan
yang bener aja dong pubg indo geraiding gak naik naik bikin seters main,5,2026-04-23 19:30:05,Guntur Ananta
👍👍👍👍👍👍,5,2026-04-23 19:25:31,beat karbu
jelek loginnya lama mendingan ff daripada papji papjiburk burik login dnglot lama,1,2026-04-23 19:16:00,Choirus Salam
mantap,5,2026-04-23 18:30:03,lover Lover
update terbaru. Xiaomi Pad 7 Pro di bukak 120 fps lah. sebab layar Uda support 144 hz ... mohon di bukak untuk hp hp yg Uda support 120 fps buat kenyaman bermain.. jgn cuman hp iPhone yg di support . thank i love pubg mobile,5,2026-04-23 18:24:21,Lepi Doang
"min please,season depan tambah senjata mp5k dong di livik, alesannya krena gw suka main di livik dan senjatanya udh gw Upgrade 😁",5,2026-04-23 18:21:54,Dowan One
mantap,5,2026-04-23 18:18:08,Anur Anur
gem nya bagus dan geravik nya juga Oke,5,2026-04-23 18:03:25,Asrori Safarudin Rori
"eh kocak kalo kasi redzone tu yang bener ya, udah bot nya damage gede klo kena spray player kelar udah, masa redzone nebak 1 detik posisi player gak realistis, lu cuma bangun emosi pemain bukan keseruan pemain! terus kalo main tdm, ai nya ga ngotak kayak citer minimal kalo tdm jangan pake AI, kalo akun yang ga kepake hapus aja ato kasi peringatan bukan lu pake buat sistem nyusahin player nya!!",1,2026-04-23 17:36:44,E7 EYE
nunggu untuk mulai game sangat lama,1,2026-04-23 16:35:31,Mandiri Menghidupi
"tolong level infitif, peebaiki masalah jaringan ketika saya main, jaringannya selalu merah, dan di kasih fitur untuk hp kentang agar saat bermain lancar, tanpa lag sedikit?",3,2026-04-23 15:13:16,Dilan Ramadan
"Sistem rank naik ke ace kenapa dibuat seperti mobile legend ,Tencent ,,,jangan lah di grading"" sistem rank",5,2026-04-23 14:40:40,arya denontoseno
Gak bisa masuk mempersiapkan sumber daya mulu,5,2026-04-23 14:10:50,Rofi Ahmad
Hilangkn grayding✊✊,3,2026-04-23 14:07:44,Rasta
"bagus tapi saya gak suka di bom. tadi saya di bom sama teman sendiri karena saya luting, padahal saya gk ada salah, pas di lapor diya masih bisa main",5,2026-04-23 13:04:37,Bukan Angga
pubg penipu lah,1,2026-04-23 12:49:28,Lalu Jay
"tolong di perbaiki ,di hp saya ram 3 sering patah-patah+ngeleg dan sejenis nya ,makasih",5,2026-04-23 12:24:28,ahmad Firin (firin)
seru banget kayak main beranteman gitu kadang kadang suka manunggal,5,2026-04-23 11:54:09,Alesa Nayla Melati
sistem grading tolong dihps ya developer kikir udh 3× gagal naik👎,1,2026-04-23 11:54:08,Bot Djancok
"SAMPAI JUMPA DI LAIN WAKTU, GW UDAH UNINSTAL GAME INI KARENA BERKURANGNYA TEMAN MABAR DAN EVENT² KURANG SERU DAN JUGA HANDPHONE YANG UDAH MAU NGOS2AN🤣🤣🤣 BUT, KLO KANGEN PASTI DWNLOAD LGI KOK... SALAM USER 2018 🤠🤠🤠😎👏🏻👋🏻👋🏻👋🏻 #dasenghillgp #asepfamily #captikus-cakram55% #wolayko",5,2026-04-23 11:45:01,Christian Langi
"gak kuat hp ku jir lah, lag dan patah patah parah lagi",3,2026-04-23 11:30:41,Muhammad Rizwandi
gak pernah main tapi seru,4,2026-04-23 11:26:23,Linda Patma wati
Ya Allah kok peci lama amat lama lama lama lama lama,1,2026-04-23 11:23:30,Alfazil Ferdiansyah
Grading nyusahin.,1,2026-04-23 10:56:51,LUTFI ARDIANSYAH19
"makin lama makin gk jelas, jaringan sering drop padahal sinyal aman",1,2026-04-23 10:41:57,Zher or
seru,5,2026-04-23 10:22:58,Nani Nani
game apa ni nunggu matchmaking sejam anj,5,2026-04-23 09:16:14,Galang
"min kapan Gilt sandsylph scion come back lagi, mau dong min dicome backin Gilt itu mau gacha banget 🥲",2,2026-04-23 08:04:39,Irma Irma
"sesuai dengan apa yang saya harapkan, lanjutkan developer jangan dengerin orang orang hama",5,2026-04-23 07:50:59,DJ GABUT
the application is good,5,2026-04-23 07:48:23,MUHAMMAD AL FARREL SATRIAJI
👍💯,5,2026-04-23 07:47:41,denilson demello
game pelit gacha gak pernah dapet m4 es mending main ml,3,2026-04-23 07:44:22,Jangan Di
tolong pubg kembalikan sistem naik rank seperti dulu ga usah grading kaya gini,1,2026-04-23 05:37:39,Notoprayitno 48
game nya bagus,5,2026-04-23 02:54:34,Day Rumaropen
hapus grading!,1,2026-04-23 02:39:28,Takacol 06
"main fpp udah ga bisa, lama banget nunggunya ga kelar2",1,2026-04-23 02:27:40,Ajung Boy
kenapa tidak bisa mengubah usia di pengaturan?,4,2026-04-23 00:06:23,dzaki haryono
Nice,5,2026-04-22 23:53:57,maulana yusup
"Baru sy main , tapi asik juga untuk mengisi waktu kosong,",3,2026-04-22 22:58:06,Kasi Asie
dah ga seru semenjak ada grading rank mau bar2 jadi takut karna banyak musuh ngendok,1,2026-04-22 22:52:16,Irvan Satria
bagus meyenagnkan,5,2026-04-22 22:44:16,Riki 1234
mantap,5,2026-04-22 22:38:10,Daka Wer
pepek lah grading bikin nyusahin.... bukannya lebih seru malah bikin emosi mainnya,1,2026-04-22 22:37:38,Ryan Adysamsara
buat apa ngadain sistem greding sattt,1,2026-04-22 22:05:05,ikyy
good,5,2026-04-22 21:40:24,Maute Ida
seru game nya,4,2026-04-22 21:14:49,Priyono Destha
sistem ranknya bikin report gak jelas tolong rubah lagi kayak yang season dulu,1,2026-04-22 21:05:55,Adhy nugra Pratama
apasih jaringan bagus malah ada peringatan kesalahan jaringan apasih,1,2026-04-22 21:01:53,Muhamad Irwandi
ini teman ku mau main PUBG tapi HP nya Oppo RAM2 apakah bisa main PUBG dengan lancar,5,2026-04-22 20:53:37,Rosinha Oqui
game tidak ramah,5,2026-04-22 20:50:25,Sela Met
keras sekali🔥🔥🔥,5,2026-04-22 20:33:24,Herman Syah
sangat bagus,5,2026-04-22 20:26:52,Rios Samma
HAPUS SISTEM PROMOSI NAIK RANK WOI,1,2026-04-22 20:20:18,Filipus Bernard
tetep aj trus klo gk bisa login masuk ny gmn hapus aplikasi ny kh,1,2026-04-22 20:19:53,Fadhil Adha
sangat 😎👍,5,2026-04-22 19:49:41,Farel Rel
"bagus sih tapi sayang minim senjata, ammo, dan medikitnya haduuhhhh",3,2026-04-22 19:45:00,Fattur B.R
"please delete rank promotion matches, because I'm stuck on Ace😭, I want to try Ace master even dominator, but promotion matches are very difficult because I'm not good at playing pubg, and I was always teased by my friends because my rank was always there and never went up and the enemy is not equal to me, why is it that when I am Ace the enemy is a dominator, please delete this system😭🙏",5,2026-04-22 19:22:25,Kevin Kevin
"rasanya jadi males main karena sistem greding bikin emosi, cnthnya grading kurang 1x lgi trus klh masa smuanya jdi hilang, intinya sistem greding untuk sbagian player itu ""MENYUSAHKAN"" tolong hilangkan atau ringankan sistem greding",2,2026-04-22 18:38:29,Pejantan Introvet
cukup puas,5,2026-04-22 18:32:39,Arie Putra
game bagus namun kalo efek mati jangan hijau kayak mati aja gak udah pake asap ijo,3,2026-04-22 17:27:23,Kince Essing
terpaksa hapus karena tdk bisa masuk lewat akun,1,2026-04-22 17:20:13,Pua paradise Pua paradise
sering ngecrash / keluar sendiri padahal device masih bagus,2,2026-04-22 16:42:33,Adam
👍,5,2026-04-22 16:34:20,arekmalang aremania
"Tolong FPSNYA kalo Bisa Di tingkatkan Untuk HP Kentang,",1,2026-04-22 16:34:05,Mia
saya suka dengan gradingnya lebih menantang 🔥🔥🔥,5,2026-04-22 15:16:55,Saidul Dull
"dead game. nyari match FPP, sama TPP solo/duo bisa sampe 10 menit. udah pake mode bahasa, non-bahasa, ganti map, multi-queue, dll. sama aja, zonk.",1,2026-04-22 14:55:15,Agcrismanto Budhi Praswastyka
matching metro royal terlalu lama.. ujung2 gak bisa matching..,1,2026-04-22 14:43:23,Baftazukha Qisthi Ahaddin
mantapzzz,5,2026-04-22 13:35:01,Pengguna Google
enak banget main nya kaya dunia asli walaupun baru belajar,5,2026-04-22 13:16:05,Pangeran
knapa peningkatan rank nya diubah maksa banget buat mau dimainin ni game Hade......,1,2026-04-22 13:07:30,Muh Restu
EVENT GAJELAS SISTEM ASUUUU HARUS SELESAIKAN GRADING BARU NAIK PANGKAT RIBETTTT,1,2026-04-22 12:53:09,Doni Setiawan
"woy kerafton scop nya balikin ke gradasi hitam ,pas lagi buka scope x6,x3,x4 kek game sebelah aja jadi polosan kurang realistis",1,2026-04-22 12:26:21,Patrick star
🔥,5,2026-04-22 12:04:35,ricke goes
gw kecewa pas ganti HP verifikasi udh tpi ya jgn 1 opsi cuman SMS doang,1,2026-04-22 11:55:40,X Shido
woi gw gabisa nuker baju aoi Todo😠,5,2026-04-22 11:43:54,Habibi Batin
😌,4,2026-04-22 11:08:37,m01 RD
"""Matching"" terlalu lama harus banget 100 pemain",5,2026-04-22 10:47:10,Triyono Tiyo
