review,review_clean,review_processed,rating,sentiment,date,userName
bagus,bagus,bagus,5,positif,2025-11-09 12:23:56,Rizky Azhari
mantap,mantap,mantap,5,positif,2025-11-09 12:13:03,Has Star
event baru nggak enak banget di mata sih masih bagusan yang 4.0,event baru nggak enak banget di mata sih masih bagusan yang,event enak mata bagusan,2,negatif,2025-11-09 11:39:39,bang vip
bagus tidak terlalu nge lag,bagus tidak terlalu nge lag,bagus nge lag,5,positif,2025-11-09 11:16:10,Langit Zhafran
gak ada niatan ngasih skin senjata gratis yg bisa di upgrade kah...please give me,gak ada niatan ngasih skin senjata gratis yg bisa di upgrade kahplease give me,niatan ngasih skin senjata gratis upgrade kahplease give me,4,positif,2025-11-09 10:59:21,dell pay
Ini game bug nia makin banyak tolong di perbaiki,ini game bug nia makin banyak tolong di perbaiki,game bug nia tolong perbaiki,1,negatif,2025-11-09 10:34:52,Juvencio Ximenes
seru banget,seru banget,seru,5,positif,2025-11-09 10:14:15,Adhyta Adhyta
mach making lama,mach making lama,mach making,1,negatif,2025-11-09 09:55:08,JEMMY NUR AMRULOH
"ngerol peti classic m4 sampe 300x malah zonk, temanku id baru 7x udah dapet, sistem macam apa ini player old di anggurin player baru dipuja,",ngerol peti classic m sampe x malah zonk temanku id baru x udah dapet sistem macam apa ini player old di anggurin player baru dipuja,ngerol peti classic sampe zonk temanku id dapet sistem player old anggurin player dipuja,1,negatif,2025-11-09 09:18:54,Andre CLeeve
update terbaru ini bikin game jdi lelet . 4 orang kluar hapus apl pubg krna sudah tidak bisa dinikmati oleh HP spekk agak rendah . mungkin diluar sana banyak jg mengalami hal sama yaitu hapus apl game karna tdk memungkinkan dimainkan HP spek rendah . mangkin bnyak yang menghapus makin sepi juga ini game,update terbaru ini bikin game jdi lelet orang kluar hapus apl pubg krna sudah tidak bisa dinikmati oleh hp spekk agak rendah mungkin diluar sana banyak jg mengalami hal sama yaitu hapus apl game karna tdk memungkinkan dimainkan hp spek rendah mangkin bnyak yang menghapus makin sepi juga ini game,update terbaru bikin game jdi lelet orang kluar hapus apl pubg dinikmati hp spekk rendah diluar jg mengalami hapus apl game tdk dimainkan hp spek rendah mangkin bnyak menghapus sepi game,1,negatif,2025-11-09 09:01:02,Dolan Maning
katanya kalau main hoki wkwk,katanya kalau main hoki wkwk,main hoki wkwk,4,positif,2025-11-09 08:29:12,M NCAHYO
"tolong perhatikan keluhan dari player lain tentang ada nya lag,frame drop,dan jangan update event terus menerus,coba kali"" perhatikan player yang device nya di ram 4 juga",tolong perhatikan keluhan dari player lain tentang ada nya lagframe dropdan jangan update event terus meneruscoba kali perhatikan player yang device nya di ram juga,tolong perhatikan keluhan player lagframe dropdan update event meneruscoba kali perhatikan player device ram,5,positif,2025-11-09 07:25:27,pern yaf
"semakin bagus cuma bila ketemu player pro/ chiter kita jd lag ,kayak gado gado rame rasanya 😅",semakin bagus cuma bila ketemu player pro chiter kita jd lag kayak gado gado rame rasanya,bagus ketemu player pro chiter lag kayak gado gado rame,3,netral,2025-11-09 07:23:14,Ahmad S
"bagus bagus, tapi kok ini game suka ada bag nya ya seperti pas terjun dari pesawat rumah rumah di bawah itu kaya bag gitu",bagus bagus tapi kok ini game suka ada bag nya ya seperti pas terjun dari pesawat rumah rumah di bawah itu kaya bag gitu,bagus bagus game suka bag pas terjun pesawat rumah rumah kaya bag gitu,5,positif,2025-11-09 07:08:19,zalfaputra putra738
"menurut saya di event baru ini, menurut saya permainan kurang adil, maksudku selain pemain yang skill berbeda jauh, juga naik turun rank nya, sekali kalah turun 31, dan menang hanya nambah 12, 6, dll harap pertimbangannya",menurut saya di event baru ini menurut saya permainan kurang adil maksudku selain pemain yang skill berbeda jauh juga naik turun rank nya sekali kalah turun dan menang hanya nambah dll harap pertimbangannya,event permainan adil maksudku pemain skill berbeda turun rank kalah turun menang nambah harap pertimbangannya,3,netral,2025-11-09 06:06:40,Mahdi Anugrah
Super berat di hp,super berat di hp,super berat hp,1,negatif,2025-11-09 03:59:16,Kanza Maurel
Is the bast,is the bast,is the bast,5,positif,2025-11-09 01:24:12,Danipedroza Pedroza
Knp ga bisa masuk,knp ga bisa masuk,knp masuk,1,negatif,2025-11-09 01:00:31,Iman fadli
habis upddate tambah gk bisa di buka game taii,habis upddate tambah gk bisa di buka game taii,habis upddate buka game taii,1,negatif,2025-11-09 00:39:04,lemon lemonti
gak jelas mencari laga aja lama x,gak jelas mencari laga aja lama x,mencari laga,3,netral,2025-11-09 00:33:10,Murijal Id
oke jos,oke jos,oke jos,4,positif,2025-11-09 00:24:23,Songko Kosem
game nya udah gak bermasyarakat lgh makin berat udah gak masuk d hp kentang sayang banget harus ninggalin akun gw apa lgh epen sekarang behh udah gak bisa gerak hp gw. saranaja tolong d turunin giga nya sayang banya orang yang suka main game ini cuman kehalang hp nya kentang,game nya udah gak bermasyarakat lgh makin berat udah gak masuk d hp kentang sayang banget harus ninggalin akun gw apa lgh epen sekarang behh udah gak bisa gerak hp gw saranaja tolong d turunin giga nya sayang banya orang yang suka main game ini cuman kehalang hp nya kentang,game bermasyarakat lgh berat masuk hp kentang sayang ninggalin akun lgh epen behh gerak hp saranaja tolong turunin giga sayang banya orang suka main game cuman kehalang hp kentang,1,negatif,2025-11-09 00:18:26,Dani Imraeni
beli UC berjuta juta hasilnya zonk apalah ini,beli uc berjuta juta hasilnya zonk apalah ini,beli uc berjuta juta hasilnya zonk apalah,4,positif,2025-11-09 00:11:08,Ilham Restu
OK,ok,ok,5,positif,2025-11-08 23:58:50,ANTONIUS
"tolong update 4.1 banyak sekali bug nya mulai dari bug jaringan, bug step musuh tidak ada, bug suara senjata tidak ada",tolong update banyak sekali bug nya mulai dari bug jaringan bug step musuh tidak ada bug suara senjata tidak ada,tolong update bug bug jaringan bug step musuh bug suara senjata,4,positif,2025-11-08 23:51:28,Hentryzna Haznureza
"kenapa beda sama free fire kalau bermain PUBG gak boleh pakai gamepad, sementara di game free fire boleh memakai gamepad atau keyboard sama mouse, mending di hapus cape kalau main pake jari terus sakit,dan juga setiap update game settingan yang udah di buat malah balik ke mode awal, maaf ya developer saya mau hapus game, mau pindah ke free fire aja lebih enak di sana, bisa pakai gamepad sama keyboard dan mouse dan saya kasih bintang 2 dulu kalau belum di dukung gamepad dan keyboardnya 🙏🏻😔",kenapa beda sama free fire kalau bermain pubg gak boleh pakai gamepad sementara di game free fire boleh memakai gamepad atau keyboard sama mouse mending di hapus cape kalau main pake jari terus sakitdan juga setiap update game settingan yang udah di buat malah balik ke mode awal maaf ya developer saya mau hapus game mau pindah ke free fire aja lebih enak di sana bisa pakai gamepad sama keyboard dan mouse dan saya kasih bintang dulu kalau belum di dukung gamepad dan keyboardnya,beda free fire bermain pubg pakai gamepad game free fire memakai gamepad keyboard mouse mending hapus cape main pake jari sakitdan update game settingan mode maaf developer hapus game pindah free fire enak pakai gamepad keyboard mouse kasih bintang dukung gamepad keyboardnya,2,negatif,2025-11-08 23:51:20,Baim Gemini
patah2 njir padahal hp baru sinyal lancar gak respect,patah njir padahal hp baru sinyal lancar gak respect,patah njir hp sinyal lancar respect,1,negatif,2025-11-08 23:48:04,fbi Dwn
keren,keren,keren,5,positif,2025-11-08 23:46:30,Gugleidz
