review,rating,date,userName
bagus,5,2025-11-09 12:23:56,Rizky Azhari
mantap,5,2025-11-09 12:13:03,Has Star
event baru nggak enak banget di mata sih masih bagusan yang 4.0,2,2025-11-09 11:39:39,bang vip
bagus tidak terlalu nge lag,5,2025-11-09 11:16:10,Langit Zhafran
gak ada niatan ngasih skin senjata gratis yg bisa di upgrade kah...please give me,4,2025-11-09 10:59:21,dell pay
Ini game bug nia makin banyak tolong di perbaiki,1,2025-11-09 10:34:52,Juvencio Ximenes
seru banget,5,2025-11-09 10:14:15,Adhyta Adhyta
mach making lama,1,2025-11-09 09:55:08,JEMMY NUR AMRULOH
"ngerol peti classic m4 sampe 300x malah zonk, temanku id baru 7x udah dapet, sistem macam apa ini player old di anggurin player baru dipuja,",1,2025-11-09 09:18:54,Andre CLeeve
update terbaru ini bikin game jdi lelet . 4 orang kluar hapus apl pubg krna sudah tidak bisa dinikmati oleh HP spekk agak rendah . mungkin diluar sana banyak jg mengalami hal sama yaitu hapus apl game karna tdk memungkinkan dimainkan HP spek rendah . mangkin bnyak yang menghapus makin sepi juga ini game,1,2025-11-09 09:01:02,Dolan Maning
katanya kalau main hoki wkwk,4,2025-11-09 08:29:12,M NCAHYO
"tolong perhatikan keluhan dari player lain tentang ada nya lag,frame drop,dan jangan update event terus menerus,coba kali"" perhatikan player yang device nya di ram 4 juga",5,2025-11-09 07:25:27,pern yaf
"semakin bagus cuma bila ketemu player pro/ chiter kita jd lag ,kayak gado gado rame rasanya 😅",3,2025-11-09 07:23:14,Ahmad S
"bagus bagus, tapi kok ini game suka ada bag nya ya seperti pas terjun dari pesawat rumah rumah di bawah itu kaya bag gitu",5,2025-11-09 07:08:19,zalfaputra putra738
"menurut saya di event baru ini, menurut saya permainan kurang adil, maksudku selain pemain yang skill berbeda jauh, juga naik turun rank nya, sekali kalah turun 31, dan menang hanya nambah 12, 6, dll harap pertimbangannya",3,2025-11-09 06:06:40,Mahdi Anugrah
Super berat di hp,1,2025-11-09 03:59:16,Kanza Maurel
Is the bast,5,2025-11-09 01:24:12,Danipedroza Pedroza
Knp ga bisa masuk,1,2025-11-09 01:00:31,Iman fadli
habis upddate tambah gk bisa di buka game taii,1,2025-11-09 00:39:04,lemon lemonti
gak jelas mencari laga aja lama x,3,2025-11-09 00:33:10,Murijal Id
oke jos,4,2025-11-09 00:24:23,Songko Kosem
game nya udah gak bermasyarakat lgh makin berat udah gak masuk d hp kentang sayang banget harus ninggalin akun gw apa lgh epen sekarang behh udah gak bisa gerak hp gw. saranaja tolong d turunin giga nya sayang banya orang yang suka main game ini cuman kehalang hp nya kentang,1,2025-11-09 00:18:26,Dani Imraeni
beli UC berjuta juta hasilnya zonk apalah ini,4,2025-11-09 00:11:08,Ilham Restu
OK,5,2025-11-08 23:58:50,ANTONIUS
"tolong update 4.1 banyak sekali bug nya mulai dari bug jaringan, bug step musuh tidak ada, bug suara senjata tidak ada",4,2025-11-08 23:51:28,Hentryzna Haznureza
"kenapa beda sama free fire kalau bermain PUBG gak boleh pakai gamepad, sementara di game free fire boleh memakai gamepad atau keyboard sama mouse, mending di hapus cape kalau main pake jari terus sakit,dan juga setiap update game settingan yang udah di buat malah balik ke mode awal, maaf ya developer saya mau hapus game, mau pindah ke free fire aja lebih enak di sana, bisa pakai gamepad sama keyboard dan mouse dan saya kasih bintang 2 dulu kalau belum di dukung gamepad dan keyboardnya 🙏🏻😔",2,2025-11-08 23:51:20,Baim Gemini
patah2 njir padahal hp baru sinyal lancar gak respect,1,2025-11-08 23:48:04,fbi Dwn
keren,5,2025-11-08 23:46:30,Gugleidz
woi masalah login mulu tod,1,2025-11-08 23:39:24,Made Vadrika
bagus😎👍,5,2025-11-08 23:37:25,Ulla Xsus
kurang nyaman tombol sprint gak bisa di edit...hilang analog sprint andalan...bkalan pensiun ini...nyesal upgrade 4.1...kalo bisa downgrade aku milih 4.0,1,2025-11-08 23:36:02,Slamet Pramono
menyala king,5,2025-11-08 23:27:05,Topup Legend
sangat Bagus,5,2025-11-08 23:26:27,Nabil Nofrizon
nambah darah d aftermath lambat sekali😴😴,2,2025-11-08 23:12:58,Angelina Saecaria jacobus
"semakin kesini semakin gak jelas. setiap ganti season mesti update mulu yang gak cuma 1Gb padahal update an perbagian, malah kek bongkar pasang gak jelas. Resmi pensiun!!!",1,2025-11-08 22:55:36,kamuh flaseh
Tetap ok,5,2025-11-08 22:45:35,Iwan Santosa
"setelah update, udah download data pas login lagi download data lagi masa setiap login download data lagi",3,2025-11-08 22:44:51,Resha Dwi
ok,4,2025-11-08 22:41:32,Andri Budiyanto
"broken, setelah update tidak bisa login",1,2025-11-08 22:20:42,Muhamad Fauzi Syahrillah
game nya makin berat jadi malas main nya,1,2025-11-08 22:20:04,Wanda Pradana
bagus,5,2025-11-08 22:09:14,Suwandi Andi
"terlalu banyak skin warna warni, citer juga hampir sering Nemu, udh bosen game battle royal, gk ada inovasi sama sekali kecuali pas Collab sama Godzilla.",1,2025-11-08 22:07:44,ZAKKI OFFICIAL
untuk game nya bagus tapi terlalu berat untuk pembuat game nya saya minta tolong kecilin sedikit lah sepaya ngak terlalu patah patah kalo main di hp ram 8 terima kasih semoga di dengar kan,5,2025-11-08 21:48:28,Khairil Anuar
game sangat baguss,5,2025-11-08 21:46:54,Alifa bahiraputri
Terlalu sering update tapi menghabiskan memory,3,2025-11-08 21:45:49,danu vac
"saya kena ban satu bulan cuma karna balik ke lobi saat knock di mode metro royal padahal saya cuman mau main dari ulang karna gak ada yg mau menolong, seminggu sebelumnya saya kena ban karna gak sengaja membalas serangan salah satu anggota tim yg diam-diam dengan sengaja melempar bom api ayolah sistem macam apa itu, akhirnya saya kesal dan uninstal game ini....😅 tolong pak developer perbaiki lagi..",2,2025-11-08 21:26:46,Muhammad Irsan
keren,5,2025-11-08 21:07:54,tukang sad
"kebanyakan claim reward, dibuat simple aja napa sih, heran gw mah",3,2025-11-08 21:03:07,Yesiria munawaroh
game tak perlu di ragukan lagi,5,2025-11-08 20:53:13,Eki Anugrah
josss jisss,5,2025-11-08 20:46:31,Rois Ilmi
vikendi ada event aja matchingnya Ampe 3 menit apalagi gak ada Event,4,2025-11-08 20:37:23,Ilham Najwi
sering bug karakter tidak bisa jalan seperti terhalang sesuatu paling sering saya alami di map erangle tepatnya di militery base,4,2025-11-08 20:31:03,Ao Haru Ride
parah pubg sekarang . udah apdet vesi 4.1 gw main rank dan clasik .. malah keluar .. jadi gw main arena . main di arena terus ngk mungkin,1,2025-11-08 20:29:55,Ogi Saputra
setiap ada pembaruan pasti ada aja bug gk jelas,2,2025-11-08 20:26:58,Zaini Sajalah
kurang untuk tata letak 2 jari,5,2025-11-08 20:26:13,Andi Nakcayang
mohon maaf saya kasih bintang 1 karena aplikasi nya sering tiba-tiba keluar sendiri padahal sudah di hapus data aplikasi nya tolong kasih solusinya terimakasih,1,2025-11-08 20:18:32,Bayu Susilo
